geoid,county,state,year,geometry,total_pop,plumbing,percent_lacking_plumbing,name,adi,financial_strength,economic_hardship_and_inequality,educational_attainment
01069,Houston County, Alabama,2022,,108079,93,0.08604816846936038,"Houston County, Alabama",107.44303006819975,94.41965579598568,109.97852312058706,101.85377806275176
04001,Apache County, Arizona,2022,,65432,2440,3.729062232546766,"Apache County, Arizona",137.33057520410324,80.32930526474865,140.91638169682284,63.70870489920356
06037,Los Angeles County, California,2022,,9721138,6195,0.06372710684695557,"Los Angeles County, California",85.17460341991138,159.63130195443676,108.36449011843754,48.60632333459126
06097,Sonoma County, California,2022,,482650,148,0.03066404226665285,"Sonoma County, California",64.57085834129515,167.5704624763831,89.00072611132693,89.9754959342381
06001,Alameda County, California,2022,,1628997,808,0.04960107354402739,"Alameda County, California",50.81761708601694,201.26577123445443,92.69272046915204,83.77203137292986
06045,Mendocino County, California,2022,,89783,18,0.02004833877237339,"Mendocino County, California",98.96641061219081,123.5302949368149,112.92633395592459,81.93975833066015
08077,Mesa County, Colorado,2022,,158636,128,0.08068786404094909,"Mesa County, Colorado",88.19928407670795,112.49094083086624,93.71089443353841,112.96441765891498
06055,Napa County, California,2022,,134300,0,0,"Napa County, California",64.99368353718083,172.56582156776562,87.11651847209224,72.24863199562947
10005,Sussex County, Delaware,2022,,255956,123,0.0480551344762381,"Sussex County, Delaware",87.75454810528946,115.39357040764322,90.6508241358634,103.75388456396793
12086,Miami-Dade County, Florida,2022,,2673837,1377,0.05149902555765366,"Miami-Dade County, Florida",96.21568216532336,129.45316266345742,109.31756283356933,71.20986931987687
12071,Lee County, Florida,2022,,822453,163,0.01981876167999873,"Lee County, Florida",88.08809128210476,119.14729710397778,94.30943071497592,103.63992443954513
12033,Escambia County, Florida,2022,,324878,530,0.16313816263335776,"Escambia County, Florida",97.5591021482319,107.24476568666722,105.51522648331712,108.06038570891216
17031,Cook County, Illinois,2022,,5109292,2542,0.04975249016889228,"Cook County, Illinois",92.3243887621827,128.8447587724109,112.23902491083025,92.93070083126827
13245,Richmond County, Georgia,2022,,206640,180,0.08710801393728224,"Richmond County, Georgia",117.27582336305542,94.39892740841594,130.80805906890035,104.79686388476696
13103,Effingham County, Georgia,2022,,69041,0,0,"Effingham County, Georgia",83.89760196312733,110.82665171311824,83.9637988498438,113.68393297560299
16027,Canyon County, Idaho,2022,,251065,109,0.04341505187899548,"Canyon County, Idaho",89.2461830005914,109.4511142513408,84.56402614331326,92.13150288884641
26103,Marquette County, Michigan,2022,,66661,92,0.13801173099713476,"Marquette County, Michigan",92.24316409317198,99.14957596936715,94.32661085125416,123.8821246507352
19163,Scott County, Iowa,2022,,173924,181,0.10406844368804766,"Scott County, Iowa",87.88437408439248,109.19872922627621,93.75162029937545,117.94224690111682
36067,Onondaga County, New York,2022,,468249,210,0.04484793347129411,"Onondaga County, New York",93.59106896015886,112.22111255824952,105.43270264214149,110.7922721965931
36071,Orange County, New York,2022,,405941,234,0.05764384479517959,"Orange County, New York",78.64594741666423,138.36240979611892,94.4389327455546,100.11108499021759
08031,Denver County, Colorado,2022,,713252,133,0.01864698591802056,"Denver County, Colorado",72.3303333201618,154.62000550967795,100.57592315984073,103.223613097119
21093,Hardin County, Kentucky,2022,,111862,103,0.09207773864225564,"Hardin County, Kentucky",96.30589731687736,100.06338235884029,100.616286697319,113.83774454699343
26099,Macomb County, Michigan,2022,,874195,538,0.06154233323228798,"Macomb County, Michigan",89.4188293378438,110.20929409361182,92.47928854368593,107.42292012032382
22051,Jefferson Parish, Louisiana,2022,,425884,83,0.01948887490490368,"Jefferson Parish, Louisiana",102.07861738041366,109.23494453566384,110.08379166033441,92.2012872479823
