GEOID,NAME,B11005_001,B11005_002,B11005_005,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,B17010_001,B17010_002,B19001_002,B19001_011,B19001_012,B19001_013,B19001_014,B19001_015,B19001_016,B19001_017,B19113_001,B23025_003,B23025_005,B25003_001,B25003_002,B25014_001,B25014_005,B25014_006,B25014_007,B25014_011,B25014_012,B25014_013,B25044_001,B25044_003,B25044_010,B25064_001,B25077_001,B25088_002,C17002_001,C17002_002,C17002_003,C17002_004,C17002_005,C24010_001,C24010_003,C24010_039
01001,"Autauga County, Alabama",22308,7256,1935,40188,248,14,0,0,0,18,2,10,122,48,232,10001,2516,2576,5864,3495,6726,4014,702,437,15363,1278,990,1891,1757,3225,2500,1461,1525,1656,83790,27163,752,22308,16832,22308,112,80,61,48,0,6,22308,326,562,1199,191800,1339,58291,3116,3514,2953,2197,26411,4133,5477
01003,"Baldwin County, Alabama",90802,25090,6434,167022,1257,0,98,0,118,0,154,28,710,188,797,38059,8332,11932,24237,16046,33474,15077,3483,2351,61277,4313,4050,7166,7374,13086,9024,6419,6801,8288,89953,111079,3825,90802,70708,90802,722,333,189,408,34,115,90802,1121,935,1160,266000,1511,229539,9347,14098,9869,8774,107254,17704,20503
01005,"Barbour County, Alabama",9016,2700,1459,17675,287,0,0,36,54,119,3,51,89,198,452,5136,1371,1076,2440,1397,1167,640,188,105,5722,1193,917,554,833,748,478,501,255,340,55672,8968,516,9016,5858,9016,146,37,20,137,5,0,9016,239,819,627,102700,1134,21851,2879,2401,1414,1554,8452,886,1458
01007,"Bibb County, Alabama",7216,2226,933,15925,363,0,45,0,0,9,0,46,106,91,358,5261,1249,763,2278,1269,1047,507,109,76,4871,794,549,452,774,1067,647,244,219,251,70064,9028,786,7216,5465,7216,54,9,18,13,0,0,7216,216,328,765,120100,1174,20836,2667,1630,565,1185,8242,554,1277
01009,"Blount County, Alabama",21626,7189,2042,40817,986,20,0,5,4,112,180,278,529,366,428,11248,3166,3482,4964,4493,3840,1751,270,156,15416,1569,1445,1602,1937,2782,2419,888,1381,1053,73528,26434,1578,21626,17144,21626,379,57,9,63,3,0,21626,362,685,734,159800,1264,58399,3078,5199,2617,2454,24856,2510,4139
01011,"Bullock County, Alabama",3450,1231,746,7156,200,0,4,0,0,39,39,40,153,69,166,2515,442,361,1036,226,492,93,53,33,2248,496,443,61,361,277,308,109,52,79,43750,3888,144,3450,2231,3450,0,0,0,12,17,0,3450,179,180,619,87700,1214,9616,1168,1519,1005,867,3744,324,452
01013,"Butler County, Alabama",7131,1962,865,13266,335,9,0,0,4,0,0,0,62,38,65,5521,843,741,1797,987,1029,542,139,21,4620,808,425,577,491,837,436,226,419,235,59217,8043,548,7131,5047,7131,26,13,0,3,0,0,7131,144,215,720,94800,1046,18652,1391,2546,1410,952,7495,709,1168
01015,"Calhoun County, Alabama",44693,12784,5701,78931,963,0,6,0,0,96,115,124,396,457,1337,21599,5679,5309,13042,6401,9098,4121,888,1011,28213,3630,3591,3658,4395,5846,4063,2348,1890,1520,68959,53147,3692,44693,31694,44693,356,42,6,284,32,48,44693,786,1704,806,140500,1143,112350,9669,10598,6836,5144,49455,5982,8749
01017,"Chambers County, Alabama",13143,3772,1601,24706,571,0,0,0,0,52,0,83,158,144,415,7991,1772,1390,3623,2697,2273,737,81,55,8880,1227,671,986,1350,1614,1045,459,522,465,60000,15631,559,13143,9486,13143,22,0,38,72,367,202,13143,350,566,842,116900,1117,34008,2205,3875,2389,1310,15072,1567,2458
01019,"Cherokee County, Alabama",9997,2505,686,18523,310,0,0,2,25,0,14,31,118,135,590,5386,1292,1004,2575,2215,1530,832,240,101,6609,812,454,560,1115,1150,593,575,404,303,63429,10713,425,9997,7972,9997,26,10,0,27,9,0,9997,143,181,700,158700,1237,24658,1138,2378,1671,1135,10288,1437,2120
